danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,uri,title,artist,mood
0.407,0.147,-8.822,0.0355,0.857,2.89E-06,0.0765,141.284,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World,chill
0.535,0.388,-9.805,0.155,0.507,0,0.412,106.703,spotify:track:5dXWFMwD7I7zXsInONVl0H,I Hate U,SZA,chill
0.667,0.373,-9.389,0.05,0.785,0,0.0823,124.148,spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,sad
0.298,0.38,-8.426,0.0287,0.778,5.62E-05,0.152,75.602,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift,sad
0.332,0.179,-11.83,0.0326,0.879,0,0.315,96.529,spotify:track:3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,The Beatles,sad
0.662,0.413,-7.357,0.0299,0.213,0,0.467,93.005,spotify:track:27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,sad
0.358,0.284,-8.285,0.0285,0.805,0,0.276,99.796,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,chill
0.667,0.373,-9.389,0.05,0.785,0,0.0823,124.148,spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,sad
0.625,0.426,-8.4,0.0271,0.412,0,0.112,110.021,spotify:track:5Ihd9HrPvOADyVoonH9ZjB,Un-Break My Heart,Toni Braxton,sad
0.461,0.593,-4.954,0.0356,0.17,0,0.175,134.17,spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,sad
0.656,0.609,-6.025,0.0285,0.0357,0,0.0872,118.036,spotify:track:76MdMwQ4yiw1wIbA16sOrA,Apologize,Timbaland,sad
0.689,0.481,-7.503,0.0815,0.369,1.03E-06,0.283,80.025,spotify:track:2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,sad
0.44,0.04,-16.887,0.0322,0.981,0.465,0.249,135.965,spotify:track:4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,chill
0.407,0.147,-8.822,0.0355,0.857,2.89E-06,0.0765,141.284,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World,sad
0.535,0.388,-9.805,0.155,0.507,0,0.412,106.703,spotify:track:5dXWFMwD7I7zXsInONVl0H,I Hate U,SZA,sad
0.358,0.284,-8.285,0.0285,0.805,0,0.276,99.796,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,sad
0.667,0.373,-9.389,0.05,0.785,0,0.0823,124.148,spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,chill
0.298,0.38,-8.426,0.0287,0.778,5.62E-05,0.152,75.602,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift,chill
0.332,0.179,-11.83,0.0326,0.879,0,0.315,96.529,spotify:track:3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,The Beatles,chill
0.662,0.413,-7.357,0.0299,0.213,0,0.467,93.005,spotify:track:27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,chill
0.461,0.593,-4.954,0.0356,0.17,0,0.175,134.17,spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,chill
0.656,0.609,-6.025,0.0285,0.0357,0,0.0872,118.036,spotify:track:76MdMwQ4yiw1wIbA16sOrA,Apologize,Timbaland,chill
0.689,0.481,-7.503,0.0815,0.369,1.03E-06,0.283,80.025,spotify:track:2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,chill
0.415,0.713,-5.55,0.0278,0.251,0.00197,0.579,125.056,spotify:track:6yZv0Nl6BXABbXoPVpfF5y,SOS,ABBA,sad
0.556,0.319,-8.251,0.0281,0.893,0,0.294,135.187,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele,sad
0.331,0.341,-6.057,0.0309,0.528,0,0.152,109.821,spotify:track:7B5Npv8NjjTCzk8PLpU66h,Love In The Dark,Adele,sad
0.604,0.366,-7.519,0.0282,0.578,0,0.13,141.981,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,sad
0.604,0.366,-7.519,0.0282,0.578,0,0.13,141.981,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,sad
0.556,0.319,-8.251,0.0281,0.893,0,0.294,135.187,spotify:track:3bNv3VuUOKgrf5hu3YcuRo,Someone Like You,Adele,sad
0.47,0.431,-6.129,0.0342,0.329,0,0.289,157.98,spotify:track:4aebBr4JAihzJQR0CiIZJv,Hello,Adele,sad
0.376,0.595,-5.936,0.0496,0.303,0,0.265,144.361,spotify:track:6O5TrlFWTYvznd9fMC0VvU,When We Were Young,Adele,sad
